job_id,job_key,company_name,url,title,location,description,qualifications,working_condition,ai_summary
1068719,appier__1068719,appier,https://job-boards.greenhouse.io/appier/jobs/1068719,Machine Learning Scientist (Intern),"Taipei, Taiwan",,,,台北での機械学習サイエンティストインターンシップの求人です。応募要件や勤務条件の詳細は記載されていませんが、機械学習に関心のある方に適しています。興味がある方はぜひご応募ください。
1501724,appier__1501724,appier,https://job-boards.greenhouse.io/appier/jobs/1501724,Campaign Analyst,"Taipei, Taiwan",,,,職種はキャンペーンアナリストで、勤務地は台湾の台北です。具体的な仕事内容や応募要件は記載されていませんが、マーケティングやデータ分析に関心がある方に適しています。勤務条件についての情報も不足しています。
1510668,appier__1510668,appier,https://job-boards.greenhouse.io/appier/jobs/1510668,"Sales Manager(IC, Hunter), Ad Cloud","Tokyo, Japan",,,,"職種はAd CloudのSales Manager(IC, Hunter)で、勤務地は東京です。応募者は営業経験が求められ、特に新規開拓に強い方が望まれます。勤務条件の詳細は記載されていませんが、営業職に興味がある方に適しています。"
1623669,appier__1623669,appier,https://job-boards.greenhouse.io/appier/jobs/1623669,Campaign Management Intern,"Taipei, Taiwan",,,,キャンペーン管理インターンの募集で、勤務地は台湾・台北です。具体的な仕事内容や応募要件は記載されていませんが、インターンシップの形式での勤務が求められます。興味のある方は詳細を確認の上、応募を検討してください。
1686845,appier__1686845,appier,https://job-boards.greenhouse.io/appier/jobs/1686845,行政專員 Administrative Specialist (1 year contractor),"Taipei, Taiwan",,,,行政專員（1年契約）を募集しています。勤務地は台北、台湾です。具体的な仕事内容や応募要件は記載されていませんが、契約期間が定められています。
1780540,appier__1780540,appier,https://job-boards.greenhouse.io/appier/jobs/1780540,"Sales Business Development Manager, Advertising Solutions","Hồ Chí Minh, Vietnam",,,,職種は広告ソリューションの営業ビジネス開発マネージャーで、勤務地はベトナムのホーチミンです。応募要件や勤務条件の詳細は記載されていませんが、営業経験や広告業界の知識が求められる可能性があります。興味のある方は、具体的な条件を確認の上、応募を検討してください。
2044280,appier__2044280,appier,https://job-boards.greenhouse.io/appier/jobs/2044280,"Account Manager, South Korea (Advertising Solutions)","Seoul, South Korea",,,,広告ソリューションのアカウントマネージャーを韓国・ソウルで募集しています。応募者は関連業界での経験が求められ、クライアントとの関係構築やプロジェクト管理が主な業務です。詳細な勤務条件は記載されていませんが、国際的な環境での仕事に興味がある方に適しています。
4002539008,paypaycard__4002539008,paypaycard,https://job-boards.greenhouse.io/paypaycard/jobs/4002539008,マーケティング / マネジャー候補,Hybrid,,,,マーケティングのマネジャー候補を募集しており、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていませんが、マーケティングに関する経験が求められる可能性があります。勤務条件についての詳細も不明です。
4002540008,paypaycard__4002540008,paypaycard,https://job-boards.greenhouse.io/paypaycard/jobs/4002540008,マーケティング組織部門長候補 / 部長候補,Hybrid,,,,マーケティング組織部門長候補として、ハイブリッド勤務でのポジションです。応募者はマーケティングの経験とリーダーシップスキルが求められます。詳細な仕事内容や勤務条件は記載されていませんが、部長候補としての責任が期待されます。
4002544008,paypaycard__4002544008,paypaycard,https://job-boards.greenhouse.io/paypaycard/jobs/4002544008,プロダクトマネジャー,Hybrid,,,,プロダクトマネジャーの求人で、勤務地はハイブリッド勤務です。応募要件や具体的な仕事内容は記載されていません。勤務条件についての詳細も不明ですが、柔軟な働き方が期待されます。
